"# 1000系",,,,,,
"1000",,,,,,
"1001F","C#1001","C#1801","C#1301","C#1601","C#1101","C#1501"
"1000-1","1001","1801","1301","1601","1101","1501"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1992年","1992年","1992年","1992年","1992年","1992年"
"1002F","C#1002","C#1802","C#1302","C#1602","C#1102","C#1502"
"1000-1","1002","1802","1302","1602","1102","1502"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1992年","1992年","1992年","1992年","1992年","1992年"
"1003F","C#1003","C#1803","C#1303","C#1603","C#1103","C#1503"
"1000-1","1003","1803","1303","1603","1103","1503"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1992年","1992年","1992年","1992年","1992年","1992年"
"1004F","C#1004","C#1804","C#1304","C#1604","C#1104","C#1504"
"1000","1004","1804","1304","1604","1104","1504"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1994年","1994年","1994年","1994年","1994年","1994年"
"1005F","C#1005","C#1805","C#1305","C#1605","C#1105","C#1505"
"1000","1005","1805","1305","1605","1105","1505"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1994年","1994年","1994年","1994年","1994年","1994年"
"1006F","C#1006","C#1806","C#1306","C#1606","C#1106","C#1506"
"1000","1006","1806","1306","1606","1106","1506"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1994年","1994年","1994年","1994年","1994年","1994年"
"1007F","C#1007","C#1807","C#1307","C#1607","C#1107","C#1507"
"1000","1007","1807","1307","1607","1107","1507"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1995年","1995年","1995年","1995年","1995年","1995年"
"1008F","C#1008","C#1808","C#1308","C#1608","C#1108","C#1508"
"1000","1008","1808","1308","1608","1108","1508"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1998年","1998年","1998年","1998年","1998年","1998年"
"1009F","C#1009","C#1809","C#1309","C#1609","C#1109","C#1509"
"1000","1009","1809","1309","1609","1109","1509"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"1999年","1999年","1999年","1999年","1999年","1999年"
"1010F","C#1010","C#1810","C#1310","C#1610","C#1110","C#1510"
"1000","1010","1810","1310","1610","1110","1510"
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造"
,"2000年","2000年","2000年","2000年","2000年","2000年"
"1031F","C#1031","C#1701",,,,
"1000-1","1031","1701",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1992年","1992年",,,,
"1032F","C#1032","C#1702",,,,
"1000-1","1032","1702",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1992年","1992年",,,,
"1033F","C#1033","C#1703",,,,
"1000-1","1033","1703",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1992年","1992年",,,,
"1034F","C#1034","C#1704",,,,
"1000","1034","1704",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1994年","1994年",,,,
"1035F","C#1035","C#1705",,,,
"1000","1035","1705",,,,
,"東急車輛製造製造","東急車輛製造",,,,
,"1994年","1994年",,,,
"1036F","C#1036","C#1706",,,,
"1000","1036","1706",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1995年","1995年",,,,
"# 2000系",,,,,,
"2000-honsen",,,,,,
"2001F","C#2001","C#2051","C#2101","C#2151",,
"2000-1","2001","2051","2101","2151",,
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造",,
,"1990年","1990年","1990年","1990年",,
"2002F","C#2002","C#2052","C#2102","C#2152",,
"2000-1","2002","2052","2102","2152",,
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造",,
,"1990年","1990年","1990年","1990年",,
"2003F","C#2003","C#2053","C#2103","C#2153",,
"2000-1","2003","2053","2103","2153",,
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造",,
,"1990年","1990年","1990年","1990年",,
"2031F","C#2031","C#2181",,,,
"2000-honsen","2031","2181",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1992年","1992年",,,,
"2032F","C#2032","C#2182",,,,
"2000-honsen","2032","2182",,,,
,"東急車輛製造","東急車輛製造",,,,
,"1992年","1992年",,,,
"2042F","C#2042","C#2092","C#2142","C#2192",,
"2000-honsen","2042","2092","2142","2192",,
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造",,
,"1996年","1996年","1996年","1996年",,
"2043F","C#2043","C#2093","C#2143","C#2193",,
"2000-honsen","2043","2093","2143","2193",,
,"東急車輛製造","東急車輛製造","東急車輛製造","東急車輛製造",,
,"1996年","1996年","1996年","1996年",,
