"# SR編成運用",,,,,,,,,,,,
"301","2","新在家:4両下り方","新在家","430M(3-4)","1435M",,,,,,,
"#afd095",,"06:00","09:15","和6:09","橋7:50",,,,,,,
"227-unknown",,,,"橋7:19","和9:03",,,,,,,
,,,,,,,,,,,,
"302","2","新在家","和歌山:8番","221M","220M","223M","222M",,,,,
"#afd095",,"05:45","23:30","和6:16","市6:32","和6:46","市6:57",,,,,
"227-unknown",,,,"市6:22","和6:40","市6:53","和7:04",,,,,
,,,,,,,,,,,,
"314","2","橋本:3番","五条","1422M(3-4)","4431M(1-2)","4431M","436M","2459M","?回送",".王寺電留線","461M","1464M"
"#afd095",,"05:00","22:45","橋5:57","五6:47","粉7:35","和8:22","王10:41","高11:30",,"王13:06","和15:55"
"227-unknown",,,,"五6:11","粉7:35","和8:05","王10:31","高10:57","王11:45",,"和15:34","五17:12"
"前夜に橋本駅構内作業の場合五条出庫",,,,,,,,,,,,
,,,,,,,,,,,,
"# SD編成運用",,,,,,,,,,,,
"354","2(2-4)","王寺:7番","高田:3番","520S","520S","523T",,,,,,
"#ffb66c",,"05:00","24:00","王5:12","高5:30","奈6:23",,,,,,
"227-SD-unknown",,,,"高5:30","奈6:16","高7:06",,,,,,
,,,,,,,,,,,,
"# SS編成運用",,,,,,,,,,,,
"401","2","新在家","新在家",,,,,,,,,
"#b4c7dc",,"NA","NA",,,,,,,,,
"227-unknown",,,,,,,,,,,,
"終日新在家待機",,,,,,,,,,,,
